district,date,day_of_week,month,is_weekend,is_holiday,holiday_name,holiday_proximity,season,district_type,waste_kg
Brás,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3232.8
Liberdade,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3233.6
Vila Mariana,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,3212.9
Mooca,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,3487.6
Tatuapé,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,3258.7
Santana,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,2579.9
Lapa,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,2625.6
Butantã,2024-01-06,5,1,1,0,,5,verao_chuvoso,suburban,1711.7
Vila Madalena,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3697.6
Santo Amaro,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3388.7
Itaquera,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,4407.5
São Mateus,2024-01-06,5,1,1,0,,5,verao_chuvoso,suburban,2076.8
Parelheiros,2024-01-06,5,1,1,0,,5,verao_chuvoso,rural,958.8
Osasco Centro,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3221.1
Guarulhos Centro,2024-01-06,5,1,1,0,,5,verao_chuvoso,commercial,3106.0
Santo André,2024-01-06,5,1,1,0,,5,verao_chuvoso,residential,3631.3
São Bernardo,2024-01-06,5,1,1,0,,5,verao_chuvoso,industrial,3695.4
Centro,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,4269.1
Bela Vista,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,3244.1
Pinheiros,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,4206.7
Brás,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,2975.4
Liberdade,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,3529.6
Vila Mariana,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,3869.8
Mooca,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,2505.9
Tatuapé,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,2974.9
Santana,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,2532.5
Lapa,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,2489.2
Butantã,2024-01-07,6,1,1,0,,6,verao_chuvoso,suburban,1810.0
Vila Madalena,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,3740.0
Santo Amaro,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,2935.5
Itaquera,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,3595.3
São Mateus,2024-01-07,6,1,1,0,,6,verao_chuvoso,suburban,1891.3
Parelheiros,2024-01-07,6,1,1,0,,6,verao_chuvoso,rural,1097.5
Osasco Centro,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,2930.5
Guarulhos Centro,2024-01-07,6,1,1,0,,6,verao_chuvoso,commercial,3473.1
Santo André,2024-01-07,6,1,1,0,,6,verao_chuvoso,residential,3505.1
São Bernardo,2024-01-07,6,1,1,0,,6,verao_chuvoso,industrial,2888.9
Centro,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,4369.6
Bela Vista,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,4395.8
Pinheiros,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,2936.6
Brás,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,4280.7
Liberdade,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,3022.4
Vila Mariana,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2822.6
Mooca,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2021.7
Tatuapé,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2282.0
Santana,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2279.4
Lapa,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2351.8
Butantã,2024-01-08,0,1,0,0,,7,verao_chuvoso,suburban,1999.1
Vila Madalena,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,3090.9
Santo Amaro,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,3189.5
Itaquera,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2970.7
São Mateus,2024-01-08,0,1,0,0,,7,verao_chuvoso,suburban,1903.3
Parelheiros,2024-01-08,0,1,0,0,,7,verao_chuvoso,rural,752.0
Osasco Centro,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,4000.4
Guarulhos Centro,2024-01-08,0,1,0,0,,7,verao_chuvoso,commercial,3818.1
Santo André,2024-01-08,0,1,0,0,,7,verao_chuvoso,residential,2388.5
São Bernardo,2024-01-08,0,1,0,0,,7,verao_chuvoso,industrial,4387.9
Centro,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,3912.5
Bela Vista,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,4331.9
Pinheiros,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,4317.0
Brás,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,3932.8
Liberdade,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,3406.1
Vila Mariana,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,2821.1
Mooca,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,2716.9
Tatuapé,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,3467.6
Santana,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,2168.6
Lapa,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,2151.5
Butantã,2024-01-09,1,1,0,0,,8,verao_chuvoso,suburban,1805.8
Vila Madalena,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,2788.6
Santo Amaro,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,3584.1
Itaquera,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,3133.8
São Mateus,2024-01-09,1,1,0,0,,8,verao_chuvoso,suburban,1978.8
Parelheiros,2024-01-09,1,1,0,0,,8,verao_chuvoso,rural,941.8
Osasco Centro,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,3410.1
Guarulhos Centro,2024-01-09,1,1,0,0,,8,verao_chuvoso,commercial,4419.6
Santo André,2024-01-09,1,1,0,0,,8,verao_chuvoso,residential,2810.8
São Bernardo,2024-01-09,1,1,0,0,,8,verao_chuvoso,industrial,5592.8
Centro,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,4763.4
Bela Vista,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,3551.0
Pinheiros,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,3303.0
Brás,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,4615.0
Liberdade,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,2971.2
Vila Mariana,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,2918.3
Mooca,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,2613.4
Tatuapé,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,2800.0
Santana,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,2007.4
Lapa,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,1935.4
Butantã,2024-01-10,2,1,0,0,,9,verao_chuvoso,suburban,1913.3
Vila Madalena,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,3408.9
Santo Amaro,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,3710.5
Itaquera,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,2560.5
São Mateus,2024-01-10,2,1,0,0,,9,verao_chuvoso,suburban,1955.0
Parelheiros,2024-01-10,2,1,0,0,,9,verao_chuvoso,rural,896.4
Osasco Centro,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,3043.7
Guarulhos Centro,2024-01-10,2,1,0,0,,9,verao_chuvoso,commercial,3832.6
Santo André,2024-01-10,2,1,0,0,,9,verao_chuvoso,residential,2923.3
São Bernardo,2024-01-10,2,1,0,0,,9,verao_chuvoso,industrial,3655.8
Centro,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,4621.0
Bela Vista,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,4224.4
Pinheiros,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,4282.7
Brás,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,4914.1
Liberdade,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,2548.4
Vila Mariana,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,2385.5
Mooca,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,2625.8
Tatuapé,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,2998.8
Santana,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,2372.5
Lapa,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,3122.4
Butantã,2024-01-11,3,1,0,0,,10,verao_chuvoso,suburban,2160.1
Vila Madalena,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,3512.4
Santo Amaro,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,4031.7
Itaquera,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,3245.9
São Mateus,2024-01-11,3,1,0,0,,10,verao_chuvoso,suburban,1842.7
Parelheiros,2024-01-11,3,1,0,0,,10,verao_chuvoso,rural,934.8
Osasco Centro,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,3089.0
Guarulhos Centro,2024-01-11,3,1,0,0,,10,verao_chuvoso,commercial,3656.3
Santo André,2024-01-11,3,1,0,0,,10,verao_chuvoso,residential,2734.0
São Bernardo,2024-01-11,3,1,0,0,,10,verao_chuvoso,industrial,4278.6
Centro,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,6057.7
Bela Vista,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,3286.2
Pinheiros,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,4389.4
Brás,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,3764.4
Liberdade,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,3081.8
Vila Mariana,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,3252.0
Mooca,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,2666.5
Tatuapé,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,2631.5
Santana,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,2185.6
Lapa,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,2737.4
Butantã,2024-01-12,4,1,0,0,,11,verao_chuvoso,suburban,1973.5
Vila Madalena,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,3393.5
Santo Amaro,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,3892.0
Itaquera,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,2969.4
São Mateus,2024-01-12,4,1,0,0,,11,verao_chuvoso,suburban,2576.5
Parelheiros,2024-01-12,4,1,0,0,,11,verao_chuvoso,rural,986.5
Osasco Centro,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,2757.8
Guarulhos Centro,2024-01-12,4,1,0,0,,11,verao_chuvoso,commercial,4116.7
Santo André,2024-01-12,4,1,0,0,,11,verao_chuvoso,residential,2859.6
São Bernardo,2024-01-12,4,1,0,0,,11,verao_chuvoso,industrial,4997.3
Centro,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,3528.2
Bela Vista,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,3591.3
Pinheiros,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,3818.8
Brás,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,3948.8
Liberdade,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,2822.4
Vila Mariana,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,2941.3
Mooca,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,2681.8
Tatuapé,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,2941.6
Santana,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,3032.7
Lapa,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,2778.0
Butantã,2024-01-13,5,1,1,0,,12,verao_chuvoso,suburban,1887.3
Vila Madalena,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,4118.0
Santo Amaro,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,4221.1
Itaquera,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,3823.4
São Mateus,2024-01-13,5,1,1,0,,12,verao_chuvoso,suburban,1738.3
Parelheiros,2024-01-13,5,1,1,0,,12,verao_chuvoso,rural,871.6
Osasco Centro,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,3726.3
Guarulhos Centro,2024-01-13,5,1,1,0,,12,verao_chuvoso,commercial,3305.9
Santo André,2024-01-13,5,1,1,0,,12,verao_chuvoso,residential,3363.4
São Bernardo,2024-01-13,5,1,1,0,,12,verao_chuvoso,industrial,3704.6
Centro,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3465.3
Bela Vista,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3615.4
Pinheiros,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,2592.4
Brás,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3137.4
Liberdade,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3197.4
Vila Mariana,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,2605.5
Mooca,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,3401.0
Tatuapé,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,2644.1
Santana,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,2370.4
Lapa,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,2690.9
Butantã,2024-01-14,6,1,1,0,,11,verao_chuvoso,suburban,2608.4
Vila Madalena,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3070.3
Santo Amaro,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3834.0
Itaquera,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,3406.1
São Mateus,2024-01-14,6,1,1,0,,11,verao_chuvoso,suburban,1875.5
Parelheiros,2024-01-14,6,1,1,0,,11,verao_chuvoso,rural,976.7
Osasco Centro,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3311.8
Guarulhos Centro,2024-01-14,6,1,1,0,,11,verao_chuvoso,commercial,3352.5
Santo André,2024-01-14,6,1,1,0,,11,verao_chuvoso,residential,3220.1
São Bernardo,2024-01-14,6,1,1,0,,11,verao_chuvoso,industrial,3232.8
Centro,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,4311.4
Bela Vista,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,4101.7
Pinheiros,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,4331.0
Brás,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,3565.8
Liberdade,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,3681.2
Vila Mariana,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,1976.0
Mooca,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,2330.8
Tatuapé,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,2903.1
Santana,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,2217.4
Lapa,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,2101.1
Butantã,2024-01-15,0,1,0,0,,10,verao_chuvoso,suburban,1892.3
Vila Madalena,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,2792.0
Santo Amaro,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,3227.3
Itaquera,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,3184.8
São Mateus,2024-01-15,0,1,0,0,,10,verao_chuvoso,suburban,1917.4
Parelheiros,2024-01-15,0,1,0,0,,10,verao_chuvoso,rural,754.1
Osasco Centro,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,3621.5
Guarulhos Centro,2024-01-15,0,1,0,0,,10,verao_chuvoso,commercial,3745.9
Santo André,2024-01-15,0,1,0,0,,10,verao_chuvoso,residential,3058.8
São Bernardo,2024-01-15,0,1,0,0,,10,verao_chuvoso,industrial,4374.8
Centro,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3990.0
Bela Vista,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3692.0
Pinheiros,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,4130.0
Brás,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,4681.9
Liberdade,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3045.5
Vila Mariana,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,2725.8
Mooca,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,2852.1
Tatuapé,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,2624.1
Santana,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,2381.1
Lapa,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,2308.0
Butantã,2024-01-16,1,1,0,0,,9,verao_chuvoso,suburban,1968.8
Vila Madalena,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3498.8
Santo Amaro,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3975.9
Itaquera,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,3304.5
São Mateus,2024-01-16,1,1,0,0,,9,verao_chuvoso,suburban,2215.2
Parelheiros,2024-01-16,1,1,0,0,,9,verao_chuvoso,rural,859.0
Osasco Centro,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3683.4
Guarulhos Centro,2024-01-16,1,1,0,0,,9,verao_chuvoso,commercial,3623.1
Santo André,2024-01-16,1,1,0,0,,9,verao_chuvoso,residential,3016.0
São Bernardo,2024-01-16,1,1,0,0,,9,verao_chuvoso,industrial,4170.8
Centro,2024-01-17,2,1,0,0,,8,verao_chuvoso,commercial,4482.3
Bela Vista,2024-01-17,2,1,0,0,,8,verao_chuvoso,commercial,4240.8
Pinheiros,2024-01-17,2,1,0,0,,8,verao_chuvoso,commercial,3417.9
Brás,2024-01-17,2,1,0,0,,8,verao_chuvoso,commercial,5457.7
Liberdade,2024-01-17,2,1,0,0,,8,verao_chuvoso,commercial,2684.5
Vila Mariana,2024-01-17,2,1,0,0,,8,verao_chuvoso,residential,2296.4
Mooca,2024-01-17,2,1,0,0,,8,verao_chuvoso,residential,2816.6
Tatuapé,2024-01-17,2,1,0,0,,8,verao_chuvoso,residential,3093.0
